Time;Source;Event
2021-07-01 00:00:00;fridge operation;START
2021-07-01 00:00:00;REFRIGERATOR;ON
2021-07-01 00:14:00;REFRIGERATOR;OFF
2021-07-01 00:14:00;fridge operation;END
2021-07-01 01:10:00;fridge operation;START
2021-07-01 01:10:00;REFRIGERATOR;ON
2021-07-01 01:24:00;REFRIGERATOR;OFF
2021-07-01 01:24:00;fridge operation;END
2021-07-01 02:07:48;fridge operation;START
2021-07-01 02:07:48;REFRIGERATOR;ON
2021-07-01 02:21:48;REFRIGERATOR;OFF
2021-07-01 02:21:48;fridge operation;END
2021-07-01 03:06:25;fridge operation;START
2021-07-01 03:06:25;REFRIGERATOR;ON
2021-07-01 03:20:25;REFRIGERATOR;OFF
2021-07-01 03:20:25;fridge operation;END
2021-07-01 03:52:04;fridge operation;START
2021-07-01 03:52:04;REFRIGERATOR;ON
2021-07-01 04:06:04;REFRIGERATOR;OFF
2021-07-01 04:06:04;fridge operation;END
2021-07-01 04:50:01;fridge operation;START
2021-07-01 04:50:01;REFRIGERATOR;ON
2021-07-01 05:04:01;REFRIGERATOR;OFF
2021-07-01 05:04:01;fridge operation;END
2021-07-01 05:38:46;fridge operation;START
2021-07-01 05:38:46;REFRIGERATOR;ON
2021-07-01 05:52:46;REFRIGERATOR;OFF
2021-07-01 05:52:46;fridge operation;END
2021-07-01 06:17:55;fridge operation;START
2021-07-01 06:17:55;REFRIGERATOR;ON
2021-07-01 06:31:55;REFRIGERATOR;OFF
2021-07-01 06:31:55;fridge operation;END
2021-07-01 07:32:29;fridge operation;START
2021-07-01 07:32:29;REFRIGERATOR;ON
2021-07-01 07:46:29;REFRIGERATOR;OFF
2021-07-01 07:46:29;fridge operation;END
2021-07-01 08:15:22;fridge operation;START
2021-07-01 08:15:22;REFRIGERATOR;ON
2021-07-01 08:29:22;REFRIGERATOR;OFF
2021-07-01 08:29:22;fridge operation;END
2021-07-01 08:59:51;fridge operation;START
2021-07-01 08:59:51;REFRIGERATOR;ON
2021-07-01 09:13:51;REFRIGERATOR;OFF
2021-07-01 09:13:51;fridge operation;END
2021-07-01 09:38:58;use a personal computer;START
2021-07-01 09:38:58;PC;ON
2021-07-01 09:49:00;fridge operation;START
2021-07-01 09:49:00;REFRIGERATOR;ON
2021-07-01 09:49:44;dishwasher operation;START
2021-07-01 09:49:50;DISHWASHER;ON
2021-07-01 10:03:00;REFRIGERATOR;OFF
2021-07-01 10:03:00;fridge operation;END
2021-07-01 10:45:43;washing a load of laundry;START
2021-07-01 10:45:50;WASHINGMACHINE;ON
2021-07-01 10:52:59;fridge operation;START
2021-07-01 10:52:59;REFRIGERATOR;ON
2021-07-01 10:54:17;PC;OFF
2021-07-01 10:54:17;use a personal computer;END
2021-07-01 10:57:06;DISHWASHER;OFF
2021-07-01 10:57:06;dishwasher operation;END
2021-07-01 11:06:59;REFRIGERATOR;OFF
2021-07-01 11:06:59;fridge operation;END
2021-07-01 11:52:58;use a personal computer;START
2021-07-01 11:52:58;PC;ON
2021-07-01 12:02:27;vacuuming;START
2021-07-01 12:02:27;VACUUMCLEANER;ON
2021-07-01 12:05:25;fridge operation;START
2021-07-01 12:05:25;REFRIGERATOR;ON
2021-07-01 12:14:27;VACUUMCLEANER;OFF
2021-07-01 12:14:27;vacuuming;END
2021-07-01 12:19:25;REFRIGERATOR;OFF
2021-07-01 12:19:25;fridge operation;END
2021-07-01 12:37:25;use a personal computer;START
2021-07-01 12:37:25;PC;ON
2021-07-01 12:46:07;fridge operation;START
2021-07-01 12:46:07;REFRIGERATOR;ON
2021-07-01 13:00:07;REFRIGERATOR;OFF
2021-07-01 13:00:07;fridge operation;END
2021-07-01 13:08:17;PC;OFF
2021-07-01 13:08:17;use a personal computer;END
2021-07-01 13:29:25;vacuuming;START
2021-07-01 13:29:25;VACUUMCLEANER;ON
2021-07-01 13:41:25;VACUUMCLEANER;OFF
2021-07-01 13:41:25;vacuuming;END
2021-07-01 13:41:26;dishwasher operation;START
2021-07-01 13:41:36;DISHWASHER;ON
2021-07-01 13:42:15;fridge operation;START
2021-07-01 13:42:15;REFRIGERATOR;ON
2021-07-01 13:52:44;PC;OFF
2021-07-01 13:52:44;use a personal computer;END
2021-07-01 13:56:15;REFRIGERATOR;OFF
2021-07-01 13:56:15;fridge operation;END
2021-07-01 13:56:17;WASHINGMACHINE;OFF
2021-07-01 13:56:17;washing a load of laundry;END
2021-07-01 14:18:26;fridge operation;START
2021-07-01 14:18:26;REFRIGERATOR;ON
2021-07-01 14:32:26;REFRIGERATOR;OFF
2021-07-01 14:32:26;fridge operation;END
2021-07-01 14:48:52;DISHWASHER;OFF
2021-07-01 14:48:52;dishwasher operation;END
2021-07-01 15:09:02;fridge operation;START
2021-07-01 15:09:02;REFRIGERATOR;ON
2021-07-01 15:23:02;REFRIGERATOR;OFF
2021-07-01 15:23:02;fridge operation;END
2021-07-01 15:48:50;watching TV;START
2021-07-01 15:48:50;TV;ON
2021-07-01 15:51:56;watching TV;START
2021-07-01 15:51:56;TV;ON
2021-07-01 15:54:38;fridge operation;START
2021-07-01 15:54:38;REFRIGERATOR;ON
2021-07-01 16:08:38;REFRIGERATOR;OFF
2021-07-01 16:08:38;fridge operation;END
2021-07-01 17:02:13;TV;OFF
2021-07-01 17:02:14;TV;ON
2021-07-01 17:28:27;fridge operation;START
2021-07-01 17:28:27;REFRIGERATOR;ON
2021-07-01 17:29:26;TV;OFF
2021-07-01 17:29:26;watching TV;END
2021-07-01 17:41:06;TV;OFF
2021-07-01 17:41:07;TV;ON
2021-07-01 17:42:27;REFRIGERATOR;OFF
2021-07-01 17:42:27;fridge operation;END
2021-07-01 18:01:45;TV;OFF
2021-07-01 18:01:45;watching TV;END
2021-07-01 18:38:01;use a personal computer;START
2021-07-01 18:38:01;PC;ON
2021-07-01 19:01:06;fridge operation;START
2021-07-01 19:01:06;REFRIGERATOR;ON
2021-07-01 19:15:06;REFRIGERATOR;OFF
2021-07-01 19:15:06;fridge operation;END
2021-07-01 19:42:51;fridge operation;START
2021-07-01 19:42:51;REFRIGERATOR;ON
2021-07-01 19:53:20;PC;OFF
2021-07-01 19:53:20;use a personal computer;END
2021-07-01 19:56:51;REFRIGERATOR;OFF
2021-07-01 19:56:51;fridge operation;END
2021-07-01 20:03:36;watching TV;START
2021-07-01 20:03:36;TV;ON
2021-07-01 20:58:27;fridge operation;START
2021-07-01 20:58:27;REFRIGERATOR;ON
2021-07-01 21:12:27;REFRIGERATOR;OFF
2021-07-01 21:12:27;fridge operation;END
2021-07-01 21:22:43;TV;OFF
2021-07-01 21:22:44;TV;ON
2021-07-01 21:29:00;watching TV;START
2021-07-01 21:29:00;TV;ON
2021-07-01 21:46:47;TV;OFF
2021-07-01 21:46:47;watching TV;END
2021-07-01 21:59:54;TV;OFF
2021-07-01 21:59:55;TV;ON
2021-07-01 22:10:05;fridge operation;START
2021-07-01 22:10:05;REFRIGERATOR;ON
2021-07-01 22:18:04;TV;OFF
2021-07-01 22:18:04;watching TV;END
2021-07-01 22:24:05;REFRIGERATOR;OFF
2021-07-01 22:24:05;fridge operation;END
2021-07-01 23:08:49;fridge operation;START
2021-07-01 23:08:49;REFRIGERATOR;ON
2021-07-01 23:22:49;REFRIGERATOR;OFF
2021-07-01 23:22:49;fridge operation;END
2021-07-02 00:26:14;fridge operation;START
2021-07-02 00:26:14;REFRIGERATOR;ON
2021-07-02 00:40:14;REFRIGERATOR;OFF
2021-07-02 00:40:14;fridge operation;END
2021-07-02 01:23:49;fridge operation;START
2021-07-02 01:23:49;REFRIGERATOR;ON
2021-07-02 01:37:49;REFRIGERATOR;OFF
2021-07-02 01:37:49;fridge operation;END
2021-07-02 02:10:06;fridge operation;START
2021-07-02 02:10:06;REFRIGERATOR;ON
2021-07-02 02:24:06;REFRIGERATOR;OFF
2021-07-02 02:24:06;fridge operation;END
2021-07-02 02:48:35;fridge operation;START
2021-07-02 02:48:35;REFRIGERATOR;ON
2021-07-02 03:02:35;REFRIGERATOR;OFF
2021-07-02 03:02:35;fridge operation;END
2021-07-02 03:39:46;fridge operation;START
2021-07-02 03:39:46;REFRIGERATOR;ON
2021-07-02 03:53:46;REFRIGERATOR;OFF
2021-07-02 03:53:46;fridge operation;END
2021-07-02 04:26:35;fridge operation;START
2021-07-02 04:26:35;REFRIGERATOR;ON
2021-07-02 04:40:35;REFRIGERATOR;OFF
2021-07-02 04:40:35;fridge operation;END
2021-07-02 05:00:23;fridge operation;START
2021-07-02 05:00:23;REFRIGERATOR;ON
2021-07-02 05:14:23;REFRIGERATOR;OFF
2021-07-02 05:14:23;fridge operation;END
2021-07-02 06:00:21;fridge operation;START
2021-07-02 06:00:21;REFRIGERATOR;ON
2021-07-02 06:14:21;REFRIGERATOR;OFF
2021-07-02 06:14:21;fridge operation;END
2021-07-02 06:46:58;fridge operation;START
2021-07-02 06:46:58;REFRIGERATOR;ON
2021-07-02 07:00:58;REFRIGERATOR;OFF
2021-07-02 07:00:58;fridge operation;END
2021-07-02 07:32:23;fridge operation;START
2021-07-02 07:32:23;REFRIGERATOR;ON
2021-07-02 07:46:23;REFRIGERATOR;OFF
2021-07-02 07:46:23;fridge operation;END
2021-07-02 08:38:58;fridge operation;START
2021-07-02 08:38:58;REFRIGERATOR;ON
2021-07-02 08:52:58;REFRIGERATOR;OFF
2021-07-02 08:52:58;fridge operation;END
2021-07-02 09:30:26;fridge operation;START
2021-07-02 09:30:26;REFRIGERATOR;ON
2021-07-02 09:44:26;REFRIGERATOR;OFF
2021-07-02 09:44:26;fridge operation;END
2021-07-02 10:17:42;fridge operation;START
2021-07-02 10:17:42;REFRIGERATOR;ON
2021-07-02 10:31:42;REFRIGERATOR;OFF
2021-07-02 10:31:42;fridge operation;END
2021-07-02 11:22:07;fridge operation;START
2021-07-02 11:22:07;REFRIGERATOR;ON
2021-07-02 11:36:07;REFRIGERATOR;OFF
2021-07-02 11:36:07;fridge operation;END
2021-07-02 12:01:13;fridge operation;START
2021-07-02 12:01:13;REFRIGERATOR;ON
2021-07-02 12:15:13;REFRIGERATOR;OFF
2021-07-02 12:15:13;fridge operation;END
2021-07-02 12:50:26;fridge operation;START
2021-07-02 12:50:26;REFRIGERATOR;ON
2021-07-02 13:04:26;REFRIGERATOR;OFF
2021-07-02 13:04:26;fridge operation;END
2021-07-02 13:46:26;fridge operation;START
2021-07-02 13:46:26;REFRIGERATOR;ON
2021-07-02 14:00:26;REFRIGERATOR;OFF
2021-07-02 14:00:26;fridge operation;END
2021-07-02 15:01:41;fridge operation;START
2021-07-02 15:01:41;REFRIGERATOR;ON
2021-07-02 15:15:41;REFRIGERATOR;OFF
2021-07-02 15:15:41;fridge operation;END
2021-07-02 16:17:44;vacuuming;START
2021-07-02 16:17:44;VACUUMCLEANER;ON
2021-07-02 16:25:59;fridge operation;START
2021-07-02 16:25:59;REFRIGERATOR;ON
2021-07-02 16:29:44;VACUUMCLEANER;OFF
2021-07-02 16:29:44;vacuuming;END
2021-07-02 16:39:59;REFRIGERATOR;OFF
2021-07-02 16:39:59;fridge operation;END
2021-07-02 17:14:53;watching TV;START
2021-07-02 17:14:53;TV;ON
2021-07-02 17:18:55;use a personal computer;START
2021-07-02 17:18:55;PC;ON
2021-07-02 17:54:43;fridge operation;START
2021-07-02 17:54:43;REFRIGERATOR;ON
2021-07-02 18:08:43;REFRIGERATOR;OFF
2021-07-02 18:08:43;fridge operation;END
2021-07-02 18:11:08;TV;OFF
2021-07-02 18:11:09;TV;ON
2021-07-02 18:34:14;PC;OFF
2021-07-02 18:34:14;use a personal computer;END
2021-07-02 18:34:19;dishwasher operation;START
2021-07-02 18:34:25;DISHWASHER;ON
2021-07-02 18:38:00;TV;OFF
2021-07-02 18:38:00;watching TV;END
2021-07-02 18:42:25;fridge operation;START
2021-07-02 18:42:25;REFRIGERATOR;ON
2021-07-02 18:50:48;use a personal computer;START
2021-07-02 18:50:48;PC;ON
2021-07-02 18:56:25;REFRIGERATOR;OFF
2021-07-02 18:56:25;fridge operation;END
2021-07-02 19:36:56;fridge operation;START
2021-07-02 19:36:56;REFRIGERATOR;ON
2021-07-02 19:41:41;DISHWASHER;OFF
2021-07-02 19:41:41;dishwasher operation;END
2021-07-02 19:47:46;watching TV;START
2021-07-02 19:47:46;TV;ON
2021-07-02 19:50:56;REFRIGERATOR;OFF
2021-07-02 19:50:56;fridge operation;END
2021-07-02 20:06:07;PC;OFF
2021-07-02 20:06:07;use a personal computer;END
2021-07-02 20:22:27;dishwasher operation;START
2021-07-02 20:22:36;DISHWASHER;ON
2021-07-02 20:37:40;TV;OFF
2021-07-02 20:37:41;TV;ON
2021-07-02 20:50:25;fridge operation;START
2021-07-02 20:50:25;REFRIGERATOR;ON
2021-07-02 21:04:25;REFRIGERATOR;OFF
2021-07-02 21:04:25;fridge operation;END
2021-07-02 21:04:39;TV;OFF
2021-07-02 21:04:39;watching TV;END
2021-07-02 21:07:09;watching TV;START
2021-07-02 21:07:09;TV;ON
2021-07-02 21:29:52;DISHWASHER;OFF
2021-07-02 21:29:52;dishwasher operation;END
2021-07-02 21:35:44;watching TV;START
2021-07-02 21:35:44;TV;ON
2021-07-02 22:01:45;fridge operation;START
2021-07-02 22:01:45;REFRIGERATOR;ON
2021-07-02 22:15:45;REFRIGERATOR;OFF
2021-07-02 22:15:45;fridge operation;END
2021-07-02 22:27:12;TV;OFF
2021-07-02 22:27:13;TV;ON
2021-07-02 22:43:14;TV;OFF
2021-07-02 22:43:15;TV;ON
2021-07-02 22:49:01;TV;OFF
2021-07-02 22:49:02;TV;ON
2021-07-02 22:51:42;fridge operation;START
2021-07-02 22:51:42;REFRIGERATOR;ON
2021-07-02 23:03:00;TV;OFF
2021-07-02 23:03:01;TV;ON
2021-07-02 23:05:42;REFRIGERATOR;OFF
2021-07-02 23:05:42;fridge operation;END
2021-07-02 23:16:37;TV;OFF
2021-07-02 23:16:37;watching TV;END
2021-07-02 23:27:54;TV;OFF
2021-07-02 23:27:54;watching TV;END
2021-07-03 00:36:25;fridge operation;START
2021-07-03 00:36:25;REFRIGERATOR;ON
2021-07-03 00:50:25;REFRIGERATOR;OFF
2021-07-03 00:50:25;fridge operation;END
2021-07-03 01:13:41;fridge operation;START
2021-07-03 01:13:41;REFRIGERATOR;ON
2021-07-03 01:27:41;REFRIGERATOR;OFF
2021-07-03 01:27:41;fridge operation;END
2021-07-03 02:01:37;fridge operation;START
2021-07-03 02:01:37;REFRIGERATOR;ON
2021-07-03 02:15:37;REFRIGERATOR;OFF
2021-07-03 02:15:37;fridge operation;END
2021-07-03 03:07:35;fridge operation;START
2021-07-03 03:07:35;REFRIGERATOR;ON
2021-07-03 03:21:35;REFRIGERATOR;OFF
2021-07-03 03:21:35;fridge operation;END
2021-07-03 04:05:51;fridge operation;START
2021-07-03 04:05:51;REFRIGERATOR;ON
2021-07-03 04:19:51;REFRIGERATOR;OFF
2021-07-03 04:19:51;fridge operation;END
2021-07-03 05:15:04;fridge operation;START
2021-07-03 05:15:04;REFRIGERATOR;ON
2021-07-03 05:29:04;REFRIGERATOR;OFF
2021-07-03 05:29:04;fridge operation;END
2021-07-03 05:49:18;fridge operation;START
2021-07-03 05:49:18;REFRIGERATOR;ON
2021-07-03 06:03:18;REFRIGERATOR;OFF
2021-07-03 06:03:18;fridge operation;END
2021-07-03 07:00:00;dishwasher operation;START
2021-07-03 07:00:06;DISHWASHER;ON
2021-07-03 07:18:57;fridge operation;START
2021-07-03 07:18:57;REFRIGERATOR;ON
2021-07-03 07:32:57;REFRIGERATOR;OFF
2021-07-03 07:32:57;fridge operation;END
2021-07-03 08:07:22;DISHWASHER;OFF
2021-07-03 08:07:22;dishwasher operation;END
2021-07-03 08:14:23;fridge operation;START
2021-07-03 08:14:23;REFRIGERATOR;ON
2021-07-03 08:28:23;REFRIGERATOR;OFF
2021-07-03 08:28:23;fridge operation;END
2021-07-03 08:49:08;fridge operation;START
2021-07-03 08:49:08;REFRIGERATOR;ON
2021-07-03 09:03:08;REFRIGERATOR;OFF
2021-07-03 09:03:08;fridge operation;END
2021-07-03 09:49:51;fridge operation;START
2021-07-03 09:49:51;REFRIGERATOR;ON
2021-07-03 10:03:51;REFRIGERATOR;OFF
2021-07-03 10:03:51;fridge operation;END
2021-07-03 11:01:59;fridge operation;START
2021-07-03 11:01:59;REFRIGERATOR;ON
2021-07-03 11:15:59;REFRIGERATOR;OFF
2021-07-03 11:15:59;fridge operation;END
2021-07-03 11:45:03;fridge operation;START
2021-07-03 11:45:03;REFRIGERATOR;ON
2021-07-03 11:59:03;REFRIGERATOR;OFF
2021-07-03 11:59:03;fridge operation;END
2021-07-03 12:50:25;fridge operation;START
2021-07-03 12:50:25;REFRIGERATOR;ON
2021-07-03 13:04:25;REFRIGERATOR;OFF
2021-07-03 13:04:25;fridge operation;END
2021-07-03 14:15:51;fridge operation;START
2021-07-03 14:15:51;REFRIGERATOR;ON
2021-07-03 14:29:51;REFRIGERATOR;OFF
2021-07-03 14:29:51;fridge operation;END
2021-07-03 14:40:59;vacuuming;START
