T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"ALVORD ISD  -  249901",17
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"BELLEVUE ISD  -  039904",20
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"BURKBURNETT ISD  -  243901",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"CHICO ISD  -  249904",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"DECATUR ISD  -  249905",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"FORESTBURG ISD  -  169910",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"GOLD BURG ISD  -  169906",27
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"HENRIETTA ISD  -  039902",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"IOWA PARK CISD  -  243903",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"JACKSBORO ISD  -  119902",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"MIDWAY ISD  -  039905",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"MONTAGUE ISD  -  169908",16
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"NOCONA ISD  -  169902",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"NORTHWEST ISD  -  061911",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",100,"SAINT JO ISD  -  169911",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",104
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"ALVORD ISD  -  249901",26
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"BELLEVUE ISD  -  039904",67
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"BOYD ISD  -  249902",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"BRIDGEPORT ISD  -  249903",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"BURKBURNETT ISD  -  243901",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"CHICO ISD  -  249904",-999
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"DECATUR ISD  -  249905",17
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"FORESTBURG ISD  -  169910",31
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"GOLD BURG ISD  -  169906",57
"2022-2023",09,"REGION IX WICHITA FALLS","BOWIE ISD  -  169901","Traditional ISD/CSD",200,"Transfers Out To",100,"HALLSVILLE ISD  -  102904",-999
