T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfers Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME_PROP","REPORT_DISTNAME_NUMBER_PROPCASE","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND_PROP","TRANSFERS_IN_OUT"
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Boerne ISD (130901)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Center Point ISD (133901)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Comfort ISD (130902)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Dilley ISD (082902)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Hondo ISD (163904)",25
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Kerrville ISD (133903)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Medina ISD (010901)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Medina Valley ISD (163908)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Northside ISD (015915)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"San Antonio ISD (015907)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",100,"Utopia ISD (232904)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",200,,
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",57
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",100,"Transfers In From",300,,
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Austin ISD (227901)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Big Springs Charter School (193801)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Boerne ISD (130901)",26
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Brooks Academies Of Texas (015830)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Center Point ISD (133901)",-999
"2019-2020",20,"Region XX San Antonio","Bandera ISD (010902)","Traditional ISD/CSD",200,"Transfers Out To",100,"Great Hearts Texas (015835)",-999
