T E X A S  E D U C A T I O N  A G E N C Y

District Level Transfer Report

PEIMS Student Transfer Report

"YEAR","REPORT_REGION","REPORT_REGION_NAME","REPORT_DISTNAME_NUMBER","REPORT_CHARTER_STATUS","REPORT_NUMBER","REPORT_TYPE","LINE_GROUP_NUMBER","DISTNAME_NUMBER_RES_ATTEND","TRANSFERS_IN_OUT"
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"ANNA ISD  -  043902",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"BELLS ISD  -  091901",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"BLUE RIDGE ISD  -  043917",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"CELINA ISD  -  043903",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"DENISON ISD  -  091903",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"DODD CITY ISD  -  074904",14
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"ECTOR ISD  -  074905",22
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"HONEY GROVE ISD  -  074907",10
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"LEONARD ISD  -  074909",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"LEWISVILLE ISD  -  061902",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"PRAIRILAND ISD  -  139912",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"S AND S CISD  -  091914",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"SAM RAYBURN ISD  -  074917",17
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"SAVOY ISD  -  074911",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"SHERMAN ISD  -  091906",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",100,"TRENTON ISD  -  074912",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",200,,"."
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",200,"Total Transfers In",92
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",100,"Transfers In From",300,,"."
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"ANNA ISD  -  043902",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"BELLS ISD  -  091901",25
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"BLUE RIDGE ISD  -  043917",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"CELESTE ISD  -  116902",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"DENISON ISD  -  091903",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"DODD CITY ISD  -  074904",77
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"ECTOR ISD  -  074905",57
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"HALLSVILLE ISD  -  102904",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"HONEY GROVE ISD  -  074907",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"KILLEEN ISD  -  014906",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"LEONARD ISD  -  074909",48
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"MCKINNEY ISD  -  043907",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"MELISSA ISD  -  043908",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"PREMIER HIGH SCHOOLS  -  072801",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"RICE CISD  -  045903",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"ROSCOE COLLEGIATE ISD  -  177901",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"SAM RAYBURN ISD  -  074917",119
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"SAVOY ISD  -  074911",32
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"SHERMAN ISD  -  091906",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"TEXAS COLLEGE PREPARATORY ACADEMIES  -  221801",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"TEXAS TECH UNIVERSITY K-12  -  152504",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"TOM BEAN ISD  -  091918",-999
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"TRENTON ISD  -  074912",18
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"WHITEWRIGHT ISD  -  091910",27
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",100,"WOLFE CITY ISD  -  116909",16
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",200,,"."
"2022-2023",10,"REGION X RICHARDSON","BONHAM ISD  -  074903","Traditional ISD/CSD",200,"Transfers Out To",200,"Total Transfers Out",458
